Role,Location,Q3,Q3_num,Q4,Q4_num,Q5,Q5_num,Q6,Q6_num,Q7,Q7_num,Q8,Q8_num,Q9,Q9_cat,Q10,Q10_cat,Q11,Q11_num,Q12,Q12_cat
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Fitter,Nature of Work,I’m not sure ,No Compliants,Satisfied,80,None ,No Changes
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Getting money,Pay & Benefits,The work tends to be easy,Other,Satisfied,80,"I'd like to avoid surveys, particularly ones where I have to write down answers ",Other
Fitter,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,The workers ,People & Culture,The management ,Management & Leadership,Neither satisfied nor dissatisfied,60,Free supplies and better communication about management ,Improved Equipment & Working Conditions
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Strongly agree,100,The people.,People & Culture,The point system. I would like to go back to 12 point system as to when each quarter you would lose a percentage of your bonus if you go over your points.,Management & Leadership,Satisfied,80,,Blank
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Strongly disagree,20,Neither agree nor disagree,60,Agree,80,Disagree,40,Strongly agree,100,Break time,Pay & Benefits,Nothing,No Compliants,Extremely satisfied,100,Nothing,No Changes
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,The challenge of the job ,Accomplishment & Growth,When measurements are not right ,Other,Satisfied,80,The learning experience ,Training & Career Development
Fitter,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Days before holiday ,Pay & Benefits,Finding tools,Equipment & Resources,Neither satisfied nor dissatisfied,60,,Blank
Crane operator,North Carolina - Charlotte Shop,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,Agree,80,Agree,80,Friend,People & Culture,Friend,Other,Satisfied,80,Welder,Blank
Fitter,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Agree,80,Flexibility ,Pay & Benefits,Point system. Lack of communication. ,Management & Leadership,Neither satisfied nor dissatisfied,60,,Blank
Fitter,North Carolina - Charlotte Shop,Agree,80,Strongly disagree,20,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,"I enjoy the technical side of fitting. Dimensions, measurements, etc.",Nature of Work,Having to deal with people with terrible work ethic,People & Culture,Satisfied,80,,Blank
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,Learning new things and the awesome people I work with and for,Accomplishment & Growth,I don’t really have any dislikes ,No Compliants,Extremely satisfied,100,Nothig,No Changes
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,The pay ,Pay & Benefits,N/A,No Compliants,Extremely satisfied,100,,Blank
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Working hard,Nature of Work,Lack of transparency ,Management & Leadership,Satisfied,80,,Blank
Fitter,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,The shop people,People & Culture,The office people/hr. Look down on us and act annoyed with us ,People & Culture,Satisfied,80,HR,Work Policy & Culture
Fitter,North Carolina - Charlotte Shop,Agree,80,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,Agree,80,"I like weld ring and fitting, coworkers are great too",Nature of Work,Lunch brake is not paid ,Schedule & Hours,Extremely satisfied,100,Lunch is paid and a 5 minute grace period for being late,Work Policy & Culture
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Money,Pay & Benefits,Nothing ,No Compliants,Satisfied,80,Nothing ,No Changes
Leadperson,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Strongly agree,100,Agree,80,Work hard and friendly ,Nature of Work,Work out side in cold,Working Conditions,Satisfied,80,Work with smart and ready to change for more efficient ,Work Policy & Culture
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,The work environment,People & Culture,You don't do overtime as before,Schedule & Hours,Satisfied,80,That they let us work more hours,Work Policy & Culture
Leadperson,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,The opportunities ,Accomplishment & Growth,When people don’t do their job properly ,People & Culture,Satisfied,80,,Blank
Other,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,The people are quite kind and patient. They never fail to make me feel welcome in any section of the shop or the yard.,People & Culture,"Nothing that has to do with steelfab but the fact I live in mooresville so drives to and from work are usually a pain. However this is a testament to how accepting SteelFab are and the quality of their work here. As a young man who finished welding school, seldom would any employer even give me the time of day. SteelFab however was different, accepting me as an intern so I may see how their operations work. The drive sucks but SteelFab is worth it.",Other,Satisfied,80,Nothing,No Changes
Supervisor,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,The chance to train new employees and watch people develop ,People & Culture,I don’t really dislike anything I just feel we all got cost of living raises be see less hours so it really equals out to what we were making before ,Pay & Benefits,Extremely satisfied,100,I wish we could work more hours by choice to make a better living not mandatory for all but available to those who want it ,Better Pay & Benefits
Machine operator,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,Iam in charge..what I do... how i do it... I like to be right. Before it get to 5-bay....on professional points ,Other,Got a job.that I can count my years ,Other,Extremely satisfied,100,No changing... keep what I do right the first time.... within getting a ticket ,No Changes
Leadperson,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Working with a good group of men and a supervisor I trust ,People & Culture,Lack of communication ,Management & Leadership,Satisfied,80,,Blank
Welder,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Work dynamic,Nature of Work,N/A,No Compliants,Satisfied,80,,Blank
Machine operator,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Helping other,People & Culture,Hours of work,Schedule & Hours,Neither satisfied nor dissatisfied,60,Recognize and compensate the one that goes above their duties ,Better Pay & Benefits
Fitter,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Bonus,Pay & Benefits,Nothing ,No Compliants,Satisfied,80,Nothing,No Changes
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Agree,80,Strongly agree,100,Strongly agree,100,Welding and fiting,Nature of Work,Fit and weld,Equipment & Resources,Satisfied,80,I can weld and fit,Training & Career Development
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Disagree,40,Agree,80,Agree,80,Agree,80,The bonus,Pay & Benefits,People not taking care of equipment ,People & Culture,Satisfied,80,Paid breaks for 1st shift ,Schedule & Work-Life Balance
Fitter,North Carolina - Charlotte Shop,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,stay busy,Nature of Work,learn new stuff,Other,Satisfied,80,keep work arear clean all time,Improved Equipment & Working Conditions
Fitter,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,Being able to do multiple roles,Nature of Work,Nothing,No Compliants,Satisfied,80,,Blank
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,The worked here are basically my second family and home and we all care for one another ,People & Culture,When Supervisor put stress on employees knowing they have a good team.,Management & Leadership,Neither satisfied nor dissatisfied,60,The raise percentage on the five years and the grace period on coming less then 5 min late,Better Pay & Benefits
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Leaning more what I do ,Accomplishment & Growth,Safe please to work ,Working Conditions,Extremely satisfied,100,,Blank
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Fitter,Nature of Work,None,No Compliants,Satisfied,80,None,No Changes
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Agree,80,getting paid ,Pay & Benefits,not having UTO,Pay & Benefits,Satisfied,80,getting UTO back,Work Policy & Culture
Machine operator,North Carolina - Charlotte Shop,Disagree,40,Neither agree nor disagree,60,Agree,80,Agree,80,Disagree,40,Agree,80,I enjoy doing my job and working with  my coworkers ,Nature of Work,We do not enjoy our lead man in 2nd shift plateshop. He does not help any operators out nor does he do anything but walk around with his hands in his pockets for the entire 12+ hour shift. ,People & Culture,Satisfied,80,My lead man in 2nd shift plate shop either needs to be replaced or have a serious talking to. He refuses to do anything he doesn’t want to do. Walks around with his hands in his pockets most of the shift and our supervisor seems like he’s scared to tell him to do anything. ,Leadership Improvement
Machine operator,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Strongly agree,100,Agree,80,Yes,Other,Yes,Other,Neither satisfied nor dissatisfied,60,All good ,No Changes
Welder,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Strongly agree,100,I don't have to talk to anyone. No one interrupts me for anything and I get to do good work in peace.,Nature of Work,I would like UTO back. In my opinion taking it away was ridiculous.,Management & Leadership,Extremely satisfied,100,,Blank
Painter,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Strongly agree,100,Agree,80,Yes,Other,Yes,Other,Neither satisfied nor dissatisfied,60,All good ,No Changes
Crane operator,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,"Continuous learning of Equipement how to run machine, crane, weilders, forklift ect.",Accomplishment & Growth,Workshop extreme heat during summer,Working Conditions,Extremely satisfied,100,"More suger free (non energy, soda) tea, gatorade, powerade, ",Improved Equipment & Working Conditions
Fitter,North Carolina - Charlotte Shop,Agree,80,Strongly disagree,20,Agree,80,Agree,80,Strongly agree,100,Agree,80,Yes,Other,Terms work,Management & Leadership,Satisfied,80,Safey,Improved Equipment & Working Conditions
Welder,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,Enjoy welding ,Nature of Work,Nothing ,No Compliants,Satisfied,80,,Blank
Crane operator,North Carolina - Charlotte Shop,Strongly disagree,20,Disagree,40,Neither agree nor disagree,60,Agree,80,Strongly disagree,20,Strongly disagree,20,"I enjoy what I do everyday, but as far as my team lead he doesn’t show interest in helping others.",Nature of Work,I least enjoy the lead in our 5 bay plate shop. He doesn’t assist when it comes to others needing help. He walks away and is missing for hours at a time.  ,Management & Leadership,Satisfied,80,I would change the way our team leads on 2nd shift present himself. I believe that a lead is suppose to know how to operate all machines in the department in which they work. Not just one. I also would like receive a raise more often as in know the qualifications on earning more money and not just waiting a whole year to receive one. ,Leadership Improvement
Welder,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Being a welder,Nature of Work,No evaluation ,Management & Leadership,Satisfied,80,Being charged for supplies that we rarely grab.,Work Policy & Culture
Maintenance,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,It beats a lot of jobs from my past.,Other,Wish overtime was more volunteer.,Pay & Benefits,Satisfied,80,More Volunteer overtime and bring back uto.,Better Pay & Benefits
Quality control,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,The outcome and the qualities of how well I do my job.,Nature of Work,"My job requires a lot of walking, going to different departments. ",Working Conditions,Satisfied,80,,Blank
Painter,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,Enjoy painting.,Nature of Work,.,No Compliants,Extremely satisfied,100,,Blank
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,I feel  comfer,People & Culture,working,Other,Satisfied,80,no change,No Changes
Leadperson,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,The camaraderie with other employees,People & Culture,The amount of time it takes to train new or “green” employees ,Schedule & Hours,Extremely satisfied,100,Hiring more experienced employees who have done this kind of work before or gone to schooling for this type of work ,Work Policy & Culture
Fitter,North Carolina - Charlotte Shop,Agree,80,Strongly disagree,20,Disagree,40,Strongly agree,100,Disagree,40,Strongly agree,100,I like the when the guys help me out when i need help and make the instructions clear.,People & Culture,"I don't dislike anything about the job, i would like an opportunity to try working in the office but thats not a dislike its just something i need to work towards.",No Compliants,Extremely satisfied,100,,Blank
Machine operator,North Carolina - Charlotte Shop,Agree,80,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,I can learn something new ,Accomplishment & Growth,I like the job,No Compliants,Extremely satisfied,100,No things to change ,No Changes
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Agree,80,Strongly agree,100,Strongly agree,100,Holiday meal,Pay & Benefits,Nothing,No Compliants,Extremely satisfied,100,,Blank
Machine operator,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,NA,Other,NA,No Compliants,Satisfied,80,NA,Blank
Welder,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Agree,80,Agree,80,The pay rate and my co workers ,Pay & Benefits,Long hrs ,Schedule & Hours,Extremely satisfied,100,,Blank
Crane operator,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,When the toilet works properly and I don't have to use the porta potty.,Other,The loud environment and the heat during summer. Breathing in the metal dust around the air.,Working Conditions,Neither satisfied nor dissatisfied,60,,Blank
Forklift operator,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Strongly disagree,20,Disagree,40,Neither agree nor disagree,60,Disagree,40,Strongly disagree,20,Not much,Other,"They only put air in shipping Forklifts , but the receiving forklifts are SUPER HOT",Working Conditions,Neither satisfied nor dissatisfied,60,Treat everyone far ,Work Policy & Culture
Leadperson,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Life time friends ,People & Culture,Away from family ,Schedule & Hours,Satisfied,80,Hours   Air-conditioning ,Improved Equipment & Working Conditions
Crane operator,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,My teammates my supervisor ,People & Culture,N/A,No Compliants,Extremely satisfied,100,N/A,Blank
Crane operator,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Learn different ways to do things everyday.,Accomplishment & Growth,Lack of communication ,Management & Leadership,Satisfied,80,,Blank
Leadperson,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Helping others and working together ,People & Culture,Weather ,Working Conditions,Satisfied,80,,Blank
Forklift operator,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,3 day weekend ,Pay & Benefits,no help sometimes and equipment being down,Equipment & Resources,Satisfied,80,don't know ,No Changes
Forklift operator,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,When I complete a job safely ,Nature of Work,Space to put things can be limited ,Working Conditions,Satisfied,80,All lifts have operating air conditioners ,Improved Equipment & Working Conditions
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,Working many hours when I can ,Pay & Benefits,Having least hours ,Schedule & Hours,Satisfied,80,,Blank
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Strongly agree,100,I enjoy the work that I do it gives me a sense of purpose and pride ,Nature of Work,People that are hateful everyday and do hateful things especially certain leadership it can be a little depressing sometimes ,People & Culture,Extremely satisfied,100,"We need better comradery and moral as tough, chaotic, and demanding as our work atmosphere can be everyone should treat each other with proper respect as men and women. Not be babied or coddled but proper love and respect as brothers and sisters",Work Policy & Culture
Crane operator,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Neither agree nor disagree,60,Strongly agree,100,Strongly disagree,20,Agree,80,The environment is good and the hours. ,People & Culture,No air conditioner ,Working Conditions,Extremely satisfied,100,None ,No Changes
Machine operator,North Carolina - Charlotte Shop,Disagree,40,Disagree,40,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Contributing to society ,Nature of Work,"The lack of leadership , management & accountability in my area of work ",Management & Leadership,Neither satisfied nor dissatisfied,60,I would work on the saftey as well as the health and well beings of Steelfabs employees ,Improved Equipment & Working Conditions
Detail coordinator,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,The part when I see a job we are working on actually getting assembled in the field and the fact that I can actually identify every piece of material that I’ve handle and or coordinated detail for,Nature of Work,The element of the weather,Working Conditions,Satisfied,80,To have air conditioning in summer and heat in winter ,Improved Equipment & Working Conditions
Fitter,North Carolina - Charlotte Shop,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Strongly disagree,20,Agree,80,Complaining a task in my fitter area without no errors or having to go back and fix something ,Nature of Work,They wait for a problem to get big before doing something about it besides solving the problem while it was small ,People & Culture,Satisfied,80,Team work with 1st and second shift ,Work Policy & Culture
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Strongly agree,100,Strongly agree,100,Strongly agree,100,Agree,80,Neither agree nor disagree,60,The people,People & Culture,I WAN more ours ,Schedule & Hours,Satisfied,80,Need more hours ,Schedule & Work-Life Balance
Crane operator,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Strongly agree,100,Strongly agree,100,Good pay and benefits ,Pay & Benefits,Enjoy everything about it ,No Compliants,Satisfied,80,Listen and learn ,Work Policy & Culture
Forklift operator,North Carolina - Charlotte Shop,Strongly agree,100,Strongly disagree,20,Neither agree nor disagree,60,Strongly agree,100,Disagree,40,Agree,80,"They always find ways to make us happy...housing, vending cafeteria, holiday pay etc",People & Culture,Long hours,Schedule & Hours,Satisfied,80,"8 hour work shift, better base pay",Schedule & Work-Life Balance
Fitter,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Neither agree nor disagree,60,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,The holiday meals,Pay & Benefits,Waking up early,Schedule & Hours,Extremely satisfied,100,,Blank
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Strongly agree,100,The freedom of being able to get my work done and feeling proud that I have done a good and honest days work,Accomplishment & Growth,The pay scale,Pay & Benefits,Extremely satisfied,100,Making more money and being more appreciated for the hard work I put in!,Better Pay & Benefits
Forklift operator,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Doing my job and being proud of the work I’ve done,Nature of Work,The dust when I’m on the 280 forklift ,Working Conditions,Satisfied,80,When I’m told everyone will receive a 2.50 cost of living increase we all get it. My cost of living is just like everyone else’s ,Better Pay & Benefits
Crane operator,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Wonderful ,Other,Great,No Compliants,Neither satisfied nor dissatisfied,60,Learning more experience ,Training & Career Development
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Strongly agree,100,Agree,80,Strongly agree,100,Any position that I had been trained.,Nature of Work,None,No Compliants,Satisfied,80,,Blank
Welder,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Strongly agree,100,The opportunity that I was given to learn how to weld,Accomplishment & Growth,The working conditions ,Working Conditions,Extremely satisfied,100,,Blank
Leadperson,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,I like knowing I can make a difference and better the work that we do,People & Culture,Lack of positions to advance ,Management & Leadership,Satisfied,80,,Blank
Detail coordinator,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,The work,Nature of Work,Nothing ,No Compliants,Satisfied,80,Nothing much at this moment ,No Changes
Machine operator,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,The hours are good,Pay & Benefits,The weather ,Working Conditions,Satisfied,80,,Blank
Welder,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Agree,80,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,the blessing to have a job,Nature of Work,"first shifts management nothing gets done, done right, or said about their wrongdoing’s ",Management & Leadership,Satisfied,80,actually acknowledging repetitive mess ups on first shift,Leadership Improvement
Fitter,North Carolina - Charlotte Shop,Agree,80,Agree,80,Strongly agree,100,Agree,80,Neither agree nor disagree,60,Agree,80,"The work hours, the opportunities that steel fab offers , benefits ",Pay & Benefits,Being unorganized ,People & Culture,Satisfied,80,"Expand parking lot, better food in lunch room ",Improved Equipment & Working Conditions
Forklift operator,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,The work hours ,Pay & Benefits,Communication ,Management & Leadership,Neither satisfied nor dissatisfied,60,,Blank
Machine operator,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Agree,80,Agree,80,I enjoy my job wmd the work environment ,Nature of Work,My hours ,Schedule & Hours,Satisfied,80,N/a,Blank
Crane operator,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,4 day work week and bonus,Pay & Benefits,Weather ,Working Conditions,Satisfied,80,Longer break,Schedule & Work-Life Balance
Other,North Carolina - Charlotte Shop,Agree,80,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,Agree,80,Money ,Pay & Benefits,Heat ,Working Conditions,Satisfied,80,Having a third shift for shipping and work four 12s Monday -Thursday and needing a bigger water truck ,Schedule & Work-Life Balance
Machine operator,North Carolina - Charlotte Shop,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly disagree,20,Strongly disagree,20,Off on Friday ,Pay & Benefits,Supervisor ,Management & Leadership,Neither satisfied nor dissatisfied,60,No comment ,No Changes
Forklift operator,North Carolina - Charlotte Shop,Strongly agree,100,Strongly disagree,20,Strongly disagree,20,Strongly agree,100,Strongly agree,100,Strongly agree,100,Money and my supervisor ,Pay & Benefits,Heat,Working Conditions,Extremely satisfied,100,Nothing ,No Changes
Crane operator,North Carolina - Charlotte Shop,Disagree,40,Neither agree nor disagree,60,Strongly disagree,20,Strongly agree,100,Strongly disagree,20,Agree,80,Doing my job safely I love running the crane !!,Nature of Work,My supervisor ,Management & Leadership,Satisfied,80,Better management honestly but this is a wonderful opportunity as a job ! Just feel like their some work to be done especially in our leadership ,Leadership Improvement
Welder,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Agree,80,Disagree,40,Agree,80,Neither agree nor disagree,60,Agree,80,The learning experience and ,Accomplishment & Growth,30 minutes lunch ,Working Conditions,Extremely satisfied,100,More money ,Better Pay & Benefits
Fitter,North Carolina - Charlotte Shop,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Working ,Nature of Work,Working ,Other,Satisfied,80,Working ,Other
Forklift operator,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,People ,People & Culture,Na,No Compliants,Satisfied,80,pay,Better Pay & Benefits
Welder,North Carolina - Charlotte Shop,Strongly agree,100,Disagree,40,Strongly agree,100,Strongly agree,100,Agree,80,Agree,80,I feel heard and needed ,People & Culture,Nothing so far ,No Compliants,Satisfied,80,,Blank
Detail coordinator,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Agree,80,Getting to learn new skills ,Accomplishment & Growth,Tha heat ,Working Conditions,Satisfied,80,The heat ,Improved Equipment & Working Conditions
Welder,North Carolina - Charlotte Shop,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Welding,Nature of Work,Heat ,Working Conditions,Satisfied,80,Break times being every 2 hours other than every 3,Schedule & Work-Life Balance
Welder,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Neither agree nor disagree,60,Agree,80,Strongly disagree,20,Agree,80,Working on the floor ,Nature of Work,The heat ,Working Conditions,Satisfied,80,Better hours  Better supplies   Better pay ,Schedule & Work-Life Balance
Fitter,North Carolina - Charlotte Shop,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Agree,80,being part of building some cool stuff ,Nature of Work,the up and down of the hrs. ,Schedule & Hours,Satisfied,80,,Blank
Fitter,North Carolina - Charlotte Shop,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Disagree,40,Agree,80,Co-workers,People & Culture,Temperature ,Working Conditions,Satisfied,80,,Blank
Welder,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,The amount of benefits and care we receive from higher ups.,Pay & Benefits,Atmosphere at times.,People & Culture,Extremely satisfied,100,Communication ,Leadership Improvement
Welder,North Carolina - Charlotte Shop,Strongly agree,100,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Agree,80,Strongly agree,100,Welding and being with my coworkers ,Nature of Work,Working ,Other,Extremely satisfied,100,,Blank
